Episodio,Reward Direita,Reward Esquerda,Passos
123,3.017361111111114,4.81888888888889,181
124,4.274722222222222,5.928888888888888,174
125,4.311111111111114,4.283333333333332,208
126,3.868333333333333,5.5418055555555545,183
127,7.716944444444441,5.4683333333333355,245
128,7.193333333333336,4.4806944444444445,240
129,3.0709722222222235,2.891249999999998,183
130,4.722499999999997,6.6298611111111105,192
131,4.37638888888889,3.618750000000001,168
132,4.324444444444442,3.032638888888891,192
133,5.697222222222221,2.719861111111114,208
134,5.139305555555554,2.966944444444446,207
135,3.3259722222222234,5.11819444444444,166
136,3.7113888888888913,6.445277777777784,178
137,6.195000000000001,9.419861111111118,246
138,4.173194444444444,5.646111111111111,177
139,6.183611111111109,3.7673611111111125,221
140,4.329861111111112,2.5759722222222226,180
141,4.575555555555556,5.6379166666666665,214
142,4.22652777777778,5.78416666666667,193
143,4.8133333333333335,6.588472222222221,208
144,5.552916666666667,4.042916666666666,216
145,3.1794444444444445,6.256666666666662,180
146,3.7223611111111112,4.488055555555557,163
147,4.288333333333334,6.232083333333338,193
148,3.3541666666666647,4.355694444444445,181
149,3.913845329568506,43.685705631919966,618
150,4.091666666666669,3.5731944444444426,162
151,4.714722222222223,5.859861111111112,206
152,5.041527777777778,3.0869444444444456,171
153,4.71402777777778,3.0462500000000006,186
154,7.4183333333333294,5.756388888888891,231
155,4.0505555555555555,4.31152777777778,174
156,27.801638972742232,6.2956340309738845,578
157,3.330416666666666,4.024861111111112,177
158,4.183611111111112,3.2027777777777757,187
159,5.389722222222218,3.9162499999999993,206
160,4.910694444444445,5.8793055555555584,194
161,6.161944444444445,4.57805555555556,251
162,4.368194444444444,3.7583333333333333,178
163,4.726805555555557,4.801805555555559,185
164,6.550138888888893,8.773472222222228,251
165,7.179166666666671,3.9004166666666684,212
166,3.5997222222222223,3.0100000000000016,159
167,3.6304166666666684,5.811527777777776,195
168,6.8380555555555524,5.293611111111113,254
169,6.772916666666668,4.537916666666667,218
170,4.031805555555553,6.203750000000006,222
171,7.440833333333333,4.651250000000003,247
172,4.013750000000003,4.991944444444442,187
173,11.858992422715852,30.80677032905792,655
174,3.9393055555555563,7.874027777777781,217
175,7.2393055555555605,6.031666666666666,249
176,3.7376388888888856,3.922083333333333,161
177,4.7213888888888915,3.161527777777779,203
178,3.4055555555555546,3.684166666666665,166
179,4.53902777777778,4.890555555555553,191
180,6.102222222222222,6.852222222222225,231
181,5.322422672374394,27.77374009819394,607
182,5.2309722222222215,4.996944444444443,204
183,4.205972222222222,3.276944444444445,182
184,8.201111111111105,4.46,252
185,29.412838759720742,-0.8144123715428755,678
186,5.396944444444443,6.09138888888889,195
187,3.8793055555555562,4.613333333333331,168
188,2.834027777777777,4.8848611111111095,158
189,6.2454129249409265,36.47374625827426,238
190,4.104722222222221,3.411944444444443,162
191,3.655694444444447,4.803888888888887,202
192,5.87875,6.380277777777777,197
193,4.610555555555556,3.074166666666665,161
194,2.8894444444444463,3.6111111111111125,175
195,4.291250000000001,4.323472222222224,209
196,6.568194444444445,7.628472222222223,213
197,4.863333333333333,3.3973611111111084,201
198,6.640555555555556,6.003611111111113,241
199,3.2181944444444444,2.8751388888888916,159
200,7.865663692591738,53.24413514314249,701
201,5.140694444444444,8.441111111111113,241
202,3.9351388888888916,6.209583333333336,180
203,5.364305555555557,7.837222222222221,209
204,3.7734722222222232,3.5237500000000006,161
205,3.476388888888887,2.8156944444444467,160
206,33.089800874116406,6.843360853003677,661
207,4.062543378777802,25.710174857075856,510
208,4.818333333333333,6.517499999999997,177
209,4.936388888888893,3.89375,173
210,4.715972222222223,4.856249999999998,180
211,7.930972222222222,8.466388888888886,245
212,5.176250000000001,4.4298611111111095,178
213,6.301388888888889,5.27986111111111,213
214,5.598942719467429,30.055018753232325,612
215,3.18625,4.283611111111114,172
216,46.74727852806819,55.45412114792925,1347
217,5.971249999999997,7.172083333333336,174
218,4.810972222222224,5.866944444444446,178
219,5.550000000000001,5.503888888888889,183
220,4.379027777777775,4.467083333333334,201
221,6.668472222222223,6.832361111111118,219
